Job <2879548> has been submitted to queue <q_sw_expr>
waiting for dispatch ...
Allocate size: 2048, time allocate: 0.000976562ms,  time free: 0ms.
Allocate size: 4096, time allocate: 0.000976562ms,  time free: 0.000976562ms.
Allocate size: 8192, time allocate: 0.00219727ms,  time free: 0.000976562ms.
Allocate size: 16384, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 32768, time allocate: 0.000976562ms,  time free: 0.000976562ms.
Allocate size: 65536, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 131072, time allocate: 0.00195312ms,  time free: 0.0012207ms.
Allocate size: 262144, time allocate: 0.00219727ms,  time free: 0.000976562ms.
Allocate size: 524288, time allocate: 0.000976562ms,  time free: 0ms.
Allocate size: 1048576, time allocate: 0.00317383ms,  time free: 0.000976562ms.
Allocate size: 2097152, time allocate: 0.000976562ms,  time free: 0ms.
Allocate size: 4194304, time allocate: 0.000976562ms,  time free: 0ms.
Allocate size: 8388608, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 16777216, time allocate: 0.000976562ms,  time free: 0ms.
Allocate size: 33554432, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 67108864, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 134217728, time allocate: 0.0151367ms,  time free: 0ms.
Testing BlockAllocator: 
Allocate size: 4, time allocate: 0.00683594ms,  time free: 0.00317383ms.
Allocate size: 8, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 16, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 32, time allocate: 0.00292969ms,  time free: 0.000976562ms.
Allocate size: 64, time allocate: 0.0012207ms,  time free: 0ms.
Allocate size: 128, time allocate: 0.00195312ms,  time free: 0.00195312ms.
Allocate size: 256, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 512, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 1024, time allocate: 0.00292969ms,  time free: 0.000976562ms.
Allocate size: 2048, time allocate: 0.00415039ms,  time free: 0.00195312ms.
Allocate size: 4096, time allocate: 0.00292969ms,  time free: 0.000976562ms.
Allocate size: 8192, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 16384, time allocate: 0.00292969ms,  time free: 0.00195312ms.
Allocate size: 32768, time allocate: 0.00317383ms,  time free: 0.00195312ms.
Allocate size: 65536, time allocate: 0.00219727ms,  time free: 0.000976562ms.
Allocate size: 131072, time allocate: 0.00195312ms,  time free: 0.000976562ms.
Allocate size: 262144, time allocate: 0.0161133ms,  time free: 0.0100098ms.
Allocate size: 524288, time allocate: 0.00512695ms,  time free: 0.00805664ms.
Allocate size: 1048576, time allocate: 0.00585938ms,  time free: 0.019043ms.
Allocate size: 2097152, time allocate: 0.00512695ms,  time free: 0.00683594ms.
Allocate size: 4194304, time allocate: 0.00585938ms,  time free: 0.00805664ms.
Allocate size: 8388608, time allocate: 0.00708008ms,  time free: 0.00683594ms.
Allocate size: 16777216, time allocate: 0.00610352ms,  time free: 0.0078125ms.
Allocate size: 33554432, time allocate: 0.00585938ms,  time free: 0.0090332ms.
Allocate size: 67108864, time allocate: 0.00610352ms,  time free: 0.00708008ms.
Allocate size: 134217728, time allocate: 0.00585938ms,  time free: 0.019043ms.
dispatching ...
Job 2879548 has been finished.
